Real,Predicción,Error Relativo (%)
2233000.0,4321220.0,93.51634572324228
1750000.0,3380407.2,93.16612857142857
1750000.0,3272603.0,87.00588571428571
2380000.0,4371614.5,83.68128151260504
3500000.0,5932616.0,69.5033142857143
1750000.0,2822316.0,61.2752
2275000.0,3535271.2,55.396538461538455
8400000.0,4119406.8,50.959443452380945
2520000.0,3699640.8,46.81114087301587
4025000.0,5738945.5,42.582496894409935
4340000.0,6158072.5,41.89107142857143
3570000.0000000005,5003962.5,40.16701680672267
1889999.9999999998,2630729.8,39.19205026455028
2450000.0,3392808.8,38.481989795918366
4200000.0,5768288.0,37.34019047619048
3010000.0,4128174.5,37.14865448504983
2450000.0,3340312.5,36.339285714285715
5110000.0,3332437.2,34.78596379647749
3080000.0,4132898.0,34.185
3850000.0,5140917.5,33.53032467532467
2135000.0,2782056.0,30.307072599531615
3500000.0,4558037.0,30.229628571428574
2870000.0,3716983.5,29.511620209059235
3290000.0,4245402.0,29.039574468085107
8680000.0,6177615.0,28.829320276497693
3430000.0,4388945.5,27.957594752186587
4543000.0,5811781.5,27.928274268104776
3080000.0,3918247.8,27.21583603896104
5600000.0,4100026.2,26.785245535714285
2870000.0,3598649.5,25.38848432055749
4375000.0,3283094.5,24.95784
3990000.0,4984787.0,24.932005012531327
3640000.0000000005,4508519.5,23.860425824175806
5033000.0,3866840.8,23.170261275581165
2485000.0,3055258.2,22.94801810865191
8294999.999999999,6462561.5,22.090880048221813
3702999.9999999995,4501734.5,21.56992978665948
3290000.0,3967805.2,20.60198328267477
3640000.0000000005,4362461.5,19.84784340659339
3709999.9999999995,2978359.8,19.720761455525597
5530000.0,4461440.5,19.322956600361664
5950000.0,4830545.0,18.81436974789916
5565000.0,6569257.5,18.045956873315365
4690000.0,3860289.5,17.691055437100214
5215000.0,4305643.5,17.43732502396932
5495000.0,4548168.5,17.230782529572338
7245000.0,8487414.0,17.14857142857143
2408000.0,2816920.2,16.98173795681063
6300000.0,5252373.0,16.628999999999998
6650000.0,5554134.0,16.479187969924812
4060000.0,3407564.5,16.069839901477835
5390000.0,6251707.0,15.987142857142858
6419000.0,5408772.5,15.738082255803084
3430000.0,2903050.5,15.36295918367347
3885000.0,4466045.0,14.956113256113257
6930000.0,5912520.5,14.682243867243866
3465000.0,3964181.2,14.406385281385282
2835000.0,3240659.0,14.308959435626104
4907000.0,4205315.5,14.299663745669452
3087000.0,3522897.8,14.120432458697765
5250000.0,5983282.0,13.967276190476191
3920000.0,4450266.0,13.527193877551019
5810000.0,5033414.0,13.366368330464715
4200000.0,3638951.2,13.35830357142857
2590000.0,2933935.2,13.279353281853282
4060000.0,4577985.5,12.758263546798029
2940000.0,3297328.8,12.15403911564626
5460000.0,6122246.5,12.129056776556776
5950000.0,5228970.0,12.118151260504202
8400000.0,7413476.0,11.744333333333334
4550000.0,5068953.0,11.40556043956044
3360000.0,2979431.0,11.326458333333333
3779999.9999999995,4203505.5,11.20384920634922
3674999.9999999995,4085956.2,11.182482993197294
4970000.0,5518557.5,11.037374245472838
3674999.9999999995,3271173.0,10.988489795918357
7419999.999999999,6640457.5,10.505963611859826
6090000.0,5455917.5,10.411863711001642
